PID: 46347, Number Sent: 17, Time: 16:39:12:698 17/07/2023, Response: REQUEST
PID: 46435, Number Sent: 9, Time: 16:49:42:041 17/07/2023, Response: GRANT
PID: 46435, Number Sent: 5, Time: 16:49:42:041 17/07/2023, Response: REQUEST
PID: 46435, Number Sent: 9, Time: 16:49:44:041 17/07/2023, Response: RELEASE
PID: 46435, Number Sent: 5, Time: 16:49:44:041 17/07/2023, Response: GRANT
PID: 46435, Number Sent: 18, Time: 16:49:44:041 17/07/2023, Response: REQUEST
PID: 46435, Number Sent: 5, Time: 16:49:46:041 17/07/2023, Response: RELEASE
PID: 46435, Number Sent: 9, Time: 16:49:46:042 17/07/2023, Response: REQUEST
PID: 46435, Number Sent: 18, Time: 16:49:46:042 17/07/2023, Response: GRANT
PID: 46435, Number Sent: 18, Time: 16:49:48:042 17/07/2023, Response: RELEASE
PID: 46435, Number Sent: 12, Time: 16:49:48:042 17/07/2023, Response: REQUEST
PID: 46435, Number Sent: 12, Time: 16:49:48:042 17/07/2023, Response: GRANT
PID: 46435, Number Sent: 12, Time: 16:49:50:043 17/07/2023, Response: RELEASE
PID: 46435, Number Sent: 9, Time: 16:49:50:043 17/07/2023, Response: REQUEST
PID: 46435, Number Sent: 9, Time: 16:49:50:043 17/07/2023, Response: GRANT
PID: 46435, Number Sent: 9, Time: 16:49:52:043 17/07/2023, Response: RELEASE
PID: 46435, Number Sent: 13, Time: 16:49:52:043 17/07/2023, Response: REQUEST
PID: 46435, Number Sent: 13, Time: 16:49:52:043 17/07/2023, Response: GRANT
PID: 46435, Number Sent: 13, Time: 16:49:54:043 17/07/2023, Response: RELEASE
PID: 46435, Number Sent: 9, Time: 16:49:54:044 17/07/2023, Response: REQUEST
PID: 46435, Number Sent: 9, Time: 16:49:54:044 17/07/2023, Response: GRANT
PID: 46435, Number Sent: 9, Time: 16:49:56:044 17/07/2023, Response: RELEASE
PID: 46435, Number Sent: 18, Time: 16:49:56:044 17/07/2023, Response: REQUEST
PID: 46435, Number Sent: 9, Time: 16:49:56:044 17/07/2023, Response: GRANT
PID: 46435, Number Sent: 9, Time: 16:49:58:044 17/07/2023, Response: RELEASE
PID: 46435, Number Sent: 16, Time: 16:49:58:045 17/07/2023, Response: REQUEST
PID: 46435, Number Sent: 16, Time: 16:49:58:045 17/07/2023, Response: GRANT
PID: 46435, Number Sent: 16, Time: 16:50:00:045 17/07/2023, Response: RELEASE
PID: 46435, Number Sent: 18, Time: 16:50:00:045 17/07/2023, Response: GRANT
PID: 46435, Number Sent: 20, Time: 16:50:00:045 17/07/2023, Response: REQUEST
PID: 46435, Number Sent: 18, Time: 16:50:02:045 17/07/2023, Response: RELEASE
PID: 46435, Number Sent: 6, Time: 16:50:02:045 17/07/2023, Response: REQUEST
PID: 46435, Number Sent: 6, Time: 16:50:02:045 17/07/2023, Response: GRANT
PID: 46435, Number Sent: 6, Time: 16:50:04:045 17/07/2023, Response: RELEASE
PID: 46435, Number Sent: 20, Time: 16:50:04:045 17/07/2023, Response: GRANT
PID: 46435, Number Sent: 6, Time: 16:50:04:046 17/07/2023, Response: REQUEST
PID: 46435, Number Sent: 20, Time: 16:50:06:046 17/07/2023, Response: RELEASE
PID: 46435, Number Sent: 6, Time: 16:50:06:046 17/07/2023, Response: GRANT
PID: 46435, Number Sent: 2, Time: 16:50:06:046 17/07/2023, Response: REQUEST
PID: 46435, Number Sent: 6, Time: 16:50:08:046 17/07/2023, Response: RELEASE
PID: 46435, Number Sent: 2, Time: 16:50:08:046 17/07/2023, Response: GRANT
PID: 46435, Number Sent: 12, Time: 16:50:08:046 17/07/2023, Response: REQUEST
PID: 46435, Number Sent: 2, Time: 16:50:10:046 17/07/2023, Response: RELEASE
PID: 46435, Number Sent: 1, Time: 16:50:10:047 17/07/2023, Response: REQUEST
PID: 46435, Number Sent: 12, Time: 16:50:10:047 17/07/2023, Response: GRANT
PID: 46435, Number Sent: 12, Time: 16:50:12:047 17/07/2023, Response: RELEASE
PID: 46435, Number Sent: 1, Time: 16:50:12:047 17/07/2023, Response: GRANT
PID: 46435, Number Sent: 14, Time: 16:50:12:047 17/07/2023, Response: REQUEST
PID: 46435, Number Sent: 1, Time: 16:50:14:048 17/07/2023, Response: RELEASE
